org,year,survey,target,cluster_id,edu,age,female,black,weight
cbsnyt,7,9158,0,24,3,2,1,0,605
cbsnyt,7,9158,NA,5,3,1,0,0,642
cbsnyt,7,9158,1,22,4,3,0,0,884
cbsnyt,7,9158,1,6,3,2,1,0,664
cbsnyt,7,9158,1,31,4,2,1,0,837
cbsnyt,7,9158,1,47,3,1,0,0,1150
cbsnyt,7,9158,1,24,3,1,1,0,461
cbsnyt,7,9158,1,21,3,1,1,0,906
cbsnyt,7,9158,1,49,2,3,0,0,1049
cbsnyt,7,9158,1,23,2,2,0,0,1020
cbsnyt,7,9158,0,6,4,2,1,0,612
cbsnyt,7,9158,0,31,2,3,1,0,843
cbsnyt,7,9158,1,48,3,1,1,0,506
cbsnyt,7,9158,1,17,3,1,1,0,461
cbsnyt,7,9158,1,37,3,1,0,0,575
cbsnyt,7,9158,1,36,2,3,1,0,421
cbsnyt,7,9158,1,36,4,3,1,0,1044
cbsnyt,7,9158,0,5,4,2,0,0,388
cbsnyt,7,9158,0,33,4,2,0,1,564
cbsnyt,7,9158,0,43,3,1,0,1,1831
cbsnyt,7,9158,0,19,2,1,0,1,2223
cbsnyt,7,9158,0,26,4,1,0,0,420
cbsnyt,7,9158,1,43,2,3,0,0,1049
cbsnyt,7,9158,0,19,3,2,0,1,1202
cbsnyt,7,9158,1,31,3,1,0,0,1171
cbsnyt,7,9158,0,10,2,4,1,0,440
cbsnyt,7,9158,1,39,4,3,0,0,884
cbsnyt,7,9158,0,43,4,2,1,0,548
cbsnyt,7,9158,1,22,2,1,1,0,1121
cbsnyt,7,9158,0,23,4,2,1,0,558
cbsnyt,7,9158,1,11,2,3,1,0,1655
cbsnyt,7,9158,0,14,1,3,1,0,2148
cbsnyt,7,9158,1,41,2,1,0,1,1112
cbsnyt,7,9158,1,34,3,3,1,0,507
cbsnyt,7,9158,0,14,2,1,0,0,1420
cbsnyt,7,9158,0,49,3,2,0,0,377
cbsnyt,7,9158,0,10,1,1,0,0,1396
cbsnyt,7,9158,0,23,4,3,0,0,442
cbsnyt,7,9158,0,22,2,2,1,0,1208
cbsnyt,7,9158,0,50,4,1,0,0,841
cbsnyt,7,9158,0,33,2,2,0,0,1021
cbsnyt,7,9158,0,43,2,3,1,0,1241
cbsnyt,7,9158,0,4,2,4,0,0,1116
cbsnyt,7,9158,1,36,2,2,1,0,402
cbsnyt,7,9158,0,11,1,3,1,1,4673
cbsnyt,7,9158,0,23,2,2,1,0,804
cbsnyt,7,9158,1,10,3,3,1,0,169
cbsnyt,7,9158,0,22,3,1,1,0,1846
cbsnyt,7,9158,0,39,4,4,1,0,634
cbsnyt,7,9158,1,22,3,4,0,0,229
cbsnyt,7,9158,1,37,3,1,0,0,575
cbsnyt,7,9158,1,14,3,2,1,0,605
cbsnyt,7,9158,0,14,2,4,0,0,1136
cbsnyt,7,9158,0,24,3,1,1,0,461
cbsnyt,7,9158,0,39,2,2,0,0,1021
cbsnyt,7,9158,1,23,3,3,0,0,872
cbsnyt,7,9158,0,10,3,3,0,0,1286
cbsnyt,7,9158,1,11,4,2,1,0,548
cbsnyt,7,9158,0,23,3,2,0,0,768
cbsnyt,7,9158,0,39,2,1,1,0,1121
cbsnyt,7,9158,0,11,2,2,1,0,790
cbsnyt,7,9158,0,22,4,2,0,0,708
cbsnyt,7,9158,0,47,2,1,0,0,1396
cbsnyt,7,9158,0,22,2,1,0,0,1422
cbsnyt,7,9158,0,33,2,1,1,0,1121
cbsnyt,7,9158,0,14,1,1,0,0,2130
cbsnyt,7,9158,0,26,2,3,1,0,842
cbsnyt,7,9158,1,28,3,3,1,0,688
cbsnyt,7,9158,1,23,2,1,0,0,2130
cbsnyt,7,9158,1,31,4,2,0,0,1416
cbsnyt,7,9158,1,42,3,2,1,0,303
cbsnyt,7,9158,0,31,2,4,0,0,1137
cbsnyt,7,9158,1,44,1,4,1,0,2083
cbsnyt,7,9158,1,34,3,2,0,1,1202
cbsnyt,7,9158,1,11,3,1,0,0,1724
cbsnyt,7,9158,0,14,2,2,0,0,1020
cbsnyt,7,9158,0,33,2,1,0,1,3396
cbsnyt,7,9158,1,43,4,4,1,0,311
cbsnyt,7,9158,1,15,1,4,1,0,1060
cbsnyt,7,9158,0,15,3,2,1,0,605
cbsnyt,7,9158,0,31,2,4,0,0,1705
cbsnyt,7,9158,0,22,4,2,1,0,279
cbsnyt,7,9158,1,26,2,3,1,0,842
cbsnyt,7,9158,1,1,1,2,1,1,4002
cbsnyt,7,9158,1,49,2,2,0,0,501
cbsnyt,7,9158,0,14,2,3,1,0,421
cbsnyt,7,9158,1,33,2,1,1,0,1121
cbsnyt,7,9158,0,33,2,4,0,0,1137
cbsnyt,7,9158,1,31,4,2,0,0,354
cbsnyt,7,9158,0,47,4,2,0,0,348
cbsnyt,7,9158,1,36,3,3,0,0,872
cbsnyt,7,9158,1,33,1,3,0,0,2727
cbsnyt,7,9158,0,33,3,2,1,0,606
cbsnyt,7,9158,0,30,2,2,0,0,1021
cbsnyt,7,9158,0,22,2,1,1,0,1121
cbsnyt,7,9158,1,44,4,3,1,0,684
cbsnyt,7,9158,NA,1,4,2,0,0,695
cbsnyt,7,9158,NA,33,1,4,0,0,1346
cbsnyt,7,9158,1,25,3,2,0,0,755
cbsnyt,7,9158,1,33,4,2,1,0,279
cbsnyt,7,9158,1,23,2,3,1,0,842
cbsnyt,7,9158,0,23,2,3,1,0,842
cbsnyt,7,9158,1,41,4,3,0,0,868
cbsnyt,7,9158,1,24,3,3,1,0,688
cbsnyt,7,9158,1,40,2,2,0,0,511
cbsnyt,7,9158,0,44,2,3,1,0,621
cbsnyt,7,9158,0,22,2,2,0,0,1021
cbsnyt,7,9158,0,24,1,4,1,0,1060
cbsnyt,7,9158,1,46,2,2,0,0,1532
cbsnyt,7,9158,0,31,3,2,1,0,303
cbsnyt,7,9158,0,33,3,2,1,0,303
cbsnyt,7,9158,1,44,2,1,0,0,1396
cbsnyt,7,9158,1,36,3,2,0,0,768
cbsnyt,7,9158,0,34,2,3,1,0,827
cbsnyt,7,9158,1,41,4,2,1,0,274
cbsnyt,7,9158,0,19,2,2,1,0,1186
cbsnyt,7,9158,1,31,4,1,0,0,421
cbsnyt,7,9158,1,19,2,1,1,0,1101
cbsnyt,7,9158,1,47,2,1,1,1,1624
cbsnyt,7,9158,NA,23,4,2,0,0,354
cbsnyt,7,9158,1,31,2,2,1,0,1208
cbsnyt,7,9158,0,40,4,2,1,0,279
cbsnyt,7,9158,1,41,2,3,0,0,1049
cbsnyt,7,9158,1,10,4,1,0,0,826
cbsnyt,7,9158,0,14,4,1,1,1,1956
cbsnyt,7,9158,0,22,2,3,1,0,421
cbsnyt,7,9158,0,31,4,3,0,0,442
cbsnyt,7,9158,0,10,2,3,0,0,1049
cbsnyt,7,9158,1,44,3,3,1,0,338
cbsnyt,7,9158,1,39,2,1,1,0,1121
cbsnyt,7,9158,1,49,1,1,1,0,1101
cbsnyt,7,9158,1,11,2,2,1,0,790
cbsnyt,7,9158,0,33,4,3,0,0,1326
cbsnyt,7,9158,0,10,3,1,0,0,575
cbsnyt,7,9158,1,11,3,2,1,0,892
cbsnyt,7,9158,1,34,2,2,0,0,1003
cbsnyt,7,9158,1,34,1,4,0,0,2642
cbsnyt,7,9158,1,26,3,2,0,0,768
cbsnyt,7,9158,1,23,2,3,1,0,842
cbsnyt,7,9158,1,33,4,2,0,0,354
cbsnyt,7,9158,1,21,3,1,1,0,1360
cbsnyt,7,9158,1,47,4,1,0,0,826
cbsnyt,7,9158,1,11,4,3,1,0,684
cbsnyt,7,9158,NA,10,4,2,0,0,1390
cbsnyt,7,9158,1,47,2,2,1,0,790
cbsnyt,7,9158,1,17,3,2,1,0,908
cbsnyt,7,9158,1,22,4,2,0,0,708
cbsnyt,7,9158,1,33,4,2,0,0,1062
cbsnyt,7,9158,1,10,1,2,0,1,1826
cbsnyt,7,9158,1,44,2,4,0,0,1116
cbsnyt,7,9158,1,33,4,1,1,1,1958
cbsnyt,7,9158,1,25,2,3,1,0,827
cbsnyt,7,9158,1,23,2,2,0,0,1020
cbsnyt,7,9158,1,19,2,1,0,0,1396
cbsnyt,7,9158,0,21,2,1,0,1,2223
cbsnyt,7,9158,0,49,2,3,0,0,1049
cbsnyt,7,9158,0,41,2,4,1,0,440
cbsnyt,7,9158,1,49,2,2,1,0,395
cbsnyt,7,9158,NA,39,3,3,1,0,344
cbsnyt,7,9158,NA,19,1,4,1,0,2083
cbsnyt,7,9158,0,33,4,2,1,0,558
cbsnyt,7,9158,0,39,4,4,0,0,603
cbsnyt,7,9158,0,11,2,3,1,1,610
cbsnyt,7,9158,1,39,2,4,1,0,421
cbsnyt,7,9158,1,10,2,1,0,0,1396
cbsnyt,7,9158,1,10,2,2,1,0,790
cbsnyt,7,9158,NA,24,4,2,0,0,707
cbsnyt,7,9158,0,21,2,3,1,0,414
cbsnyt,7,9158,1,44,4,3,1,0,1027
cbsnyt,7,9158,1,44,4,2,1,0,548
cbsnyt,7,9158,NA,24,4,2,0,0,707
cbsnyt,7,9158,1,33,2,3,1,0,421
cbsnyt,7,9158,1,44,4,4,0,0,790
cbsnyt,7,9158,1,18,2,2,1,0,395
cbsnyt,7,9158,1,44,4,4,1,0,311
cbsnyt,7,9158,1,43,4,2,1,0,274
cbsnyt,7,9158,NA,33,2,3,1,0,843
cbsnyt,7,9158,1,33,4,3,1,0,697
cbsnyt,7,9158,1,44,2,1,1,0,1101
cbsnyt,7,9158,1,34,2,1,0,0,1396
cbsnyt,7,9158,1,31,3,1,0,0,1171
cbsnyt,7,9158,1,5,2,4,1,0,1474
cbsnyt,7,9158,1,34,4,2,1,0,548
cbsnyt,7,9158,1,31,1,2,0,0,2336
cbsnyt,7,9158,0,14,1,4,1,0,1060
cbsnyt,7,9158,1,18,2,3,1,0,1241
cbsnyt,7,9158,NA,10,2,1,1,0,1101
cbsnyt,7,9158,NA,4,3,4,1,0,354
cbsnyt,7,9158,0,22,4,1,1,0,332
cbsnyt,7,9158,1,43,2,3,1,0,414
cbsnyt,7,9158,1,6,4,1,1,0,364
cbsnyt,7,9158,NA,44,4,4,0,0,790
cbsnyt,7,9158,0,14,4,2,1,0,836
cbsnyt,7,9158,1,31,3,2,1,0,606
cbsnyt,7,9158,1,39,2,1,0,0,2132
cbsnyt,7,9158,0,10,4,3,0,0,868
cbsnyt,7,9158,0,34,1,2,1,0,2712
cbsnyt,7,9158,1,10,2,4,0,0,1116
cbsnyt,7,9158,0,39,3,2,1,0,606
cbsnyt,7,9158,0,15,2,3,0,0,1068
cbsnyt,7,9158,1,22,3,2,1,0,606
cbsnyt,7,9158,1,44,4,2,0,0,348
cbsnyt,7,9158,1,14,3,2,1,0,303
cbsnyt,7,9158,1,10,2,4,0,0,1116
cbsnyt,7,9158,1,44,4,1,1,0,326
cbsnyt,7,9158,1,47,3,1,0,0,575
cbsnyt,7,9158,1,18,3,1,0,0,1150
cbsnyt,7,9158,1,44,3,1,1,0,453
cbsnyt,7,9158,0,40,3,2,1,0,606
cbsnyt,7,9158,0,37,3,2,0,0,755
cbsnyt,7,9158,0,36,2,2,1,0,804
cbsnyt,7,9158,1,18,3,3,0,0,429
cbsnyt,7,9158,NA,43,1,3,1,0,1056
cbsnyt,7,9158,0,39,2,4,0,0,1069
cbsnyt,7,9158,1,33,2,2,0,0,2042
cbsnyt,7,9158,1,43,3,1,1,0,906
cbsnyt,7,9158,0,24,2,2,1,0,804
cbsnyt,7,9158,0,10,1,1,1,0,1101
cbsnyt,7,9158,1,36,4,1,1,0,331
cbsnyt,7,9158,1,14,2,3,1,0,1683
cbsnyt,7,9158,1,10,4,2,1,0,548
cbsnyt,7,9158,1,10,4,2,1,0,548
cbsnyt,7,9158,1,11,2,1,1,0,550
cbsnyt,7,9158,1,10,1,4,0,0,2642
cbsnyt,7,9158,1,33,3,3,1,0,516
cbsnyt,7,9158,0,39,2,1,1,0,1121
cbsnyt,7,9158,1,17,2,3,1,0,842
cbsnyt,7,9158,0,26,4,2,1,0,836
cbsnyt,7,9158,1,47,2,2,1,0,790
cbsnyt,7,9158,1,10,3,2,1,0,297
cbsnyt,7,9158,0,50,3,1,1,0,922
cbsnyt,7,9158,1,11,4,2,0,0,695
cbsnyt,7,9158,1,18,2,2,1,0,395
cbsnyt,7,9158,1,50,2,2,1,0,804
cbsnyt,7,9158,1,33,2,1,0,0,1066
cbsnyt,7,9158,1,28,4,3,1,0,696
cbsnyt,7,9158,1,43,2,3,0,0,1049
cbsnyt,7,9158,0,24,2,3,0,0,534
cbsnyt,7,9158,0,19,3,2,0,0,755
cbsnyt,7,9158,1,31,4,1,1,0,829
cbsnyt,7,9158,1,33,3,2,1,0,757
cbsnyt,7,9158,0,26,3,4,0,0,914
cbsnyt,7,9158,1,23,3,2,1,0,303
cbsnyt,7,9158,1,14,3,2,0,0,384
cbsnyt,7,9158,1,43,4,1,1,0,652
cbsnyt,7,9158,1,44,2,2,1,0,790
cbsnyt,7,9158,1,18,1,3,0,0,4017
cbsnyt,7,9158,1,4,2,1,1,0,1101
cbsnyt,7,9158,1,14,2,1,1,0,1120
cbsnyt,7,9158,1,26,4,2,1,0,558
cbsnyt,7,9158,1,1,2,2,0,0,1003
cbsnyt,7,9158,1,45,4,1,0,0,923
cbsnyt,7,9158,1,17,2,2,1,0,1206
cbsnyt,7,9158,1,44,4,1,0,0,413
cbsnyt,7,9158,0,25,1,2,1,0,2712
cbsnyt,7,9158,1,3,3,3,0,0,479
cbsnyt,7,9158,1,44,2,2,1,0,790
cbsnyt,7,9158,1,5,4,2,1,0,918
cbsnyt,7,9158,1,43,4,1,1,0,652
cbsnyt,7,9158,0,25,2,2,0,1,1597
cbsnyt,7,9158,1,3,4,1,0,0,923
cbsnyt,7,9158,0,50,4,2,1,0,279
cbsnyt,7,9158,1,44,2,1,0,0,4188
cbsnyt,7,9158,1,43,2,4,0,0,1116
cbsnyt,7,9158,NA,5,3,2,1,0,332
cbsnyt,7,9158,0,50,2,2,1,0,804
cbsnyt,7,9158,0,5,4,1,0,0,923
