cluster_id,target,livch,age,urban
5,Y,3+,6.44,N
5,N,3+,2.44,N
5,N,0,-9.5599,N
5,Y,2,-8.56,N
5,Y,3+,14.44,N
5,Y,3+,1.44,N
5,Y,2,-4.5599,N
5,N,3+,-4.5599,N
5,N,2,-7.5599,N
5,Y,2,-5.5599,N
5,Y,0,-8.5599,N
5,N,0,-12.56,N
5,N,3+,-1.5599,N
5,N,3+,-1.5599,N
5,N,3+,18.44,N
5,N,2,17.44,N
5,Y,3+,-0.5599,N
5,N,3+,11.44,N
5,N,3+,13.44,N
6,Y,0,-0.5599,Y
6,Y,1,-4.5599,Y
6,Y,3+,-0.5599,Y
6,N,2,11.44,Y
6,Y,0,-4.5599,Y
6,N,3+,7.44,Y
6,Y,3+,4.44,Y
6,N,2,-5.56,N
6,N,3+,13.44,N
6,Y,0,-12.56,N
6,N,3+,12.44,N
6,N,3+,-5.5599,N
6,N,3+,8.44,N
6,N,0,-11.559,N
6,Y,1,-0.5599,N
6,N,1,-7.56,N
6,N,1,6.44,N
6,Y,3+,4.44,N
6,Y,2,-5.56,N
6,Y,2,-0.5599,N
6,N,0,-6.56,N
6,N,2,0.44,N
6,N,3+,13.44,N
6,N,3+,11.44,N
6,N,0,1.44,N
6,Y,1,-5.5599,N
6,N,0,-6.56,N
6,Y,2,-4.56,N
6,N,2,-2.5599,N
6,Y,3+,13.44,N
6,N,0,-9.5599,N
6,N,0,-11.559,N
6,N,0,-8.5599,N
6,N,0,-9.5599,N
6,N,3+,-2.5599,N
6,N,0,-10.559,N
6,N,3+,18.44,N
6,Y,1,-7.56,N
6,N,1,-4.5599,N
6,N,1,-9.5599,N
6,Y,3+,-0.56,N
6,N,0,-8.5599,N
6,N,1,8.44,N
6,N,1,-5.5599,N
6,N,2,5.44,N
6,N,0,-12.56,N
6,N,3+,16.44,N
6,N,3+,8.44,N
6,N,3+,8.44,N
6,N,1,-4.5599,N
6,N,0,-6.56,N
6,N,2,-2.5599,N
6,N,3+,18.44,N
6,N,2,18.44,N
6,N,3+,-0.56,N
6,N,3+,8.44,N
6,N,3+,-8.5599,N
6,N,3+,-5.5599,N
6,Y,2,0.44,N
6,Y,3+,2.44,N
6,N,1,-7.56,N
6,Y,3+,-2.5599,N
6,N,3+,15.44,N
6,Y,3+,10.44,N
6,N,0,-7.5599,N
7,N,3+,1.44,N
7,N,1,-8.5599,N
7,N,1,-7.56,N
7,N,0,-13.56,N
7,N,3+,-5.5599,N
7,N,0,-10.559,N
7,Y,3+,3.44,N
7,N,3+,11.44,N
7,Y,0,-7.5599,N
7,N,1,-6.56,N
7,N,3+,-0.5599,N
7,N,1,2.44,N
7,Y,3+,3.44,N
7,N,3+,6.44,N
7,Y,1,-10.559,N
7,N,2,1.44,N
7,N,0,-10.559,N
7,Y,0,-8.5599,N
8,Y,0,-10.559,Y
8,Y,2,0.44,Y
8,N,0,19.44,N
8,N,3+,9.44,N
8,Y,2,-4.5599,N
8,N,0,-12.56,N
8,N,1,-5.5599,N
8,N,3+,11.44,N
8,Y,1,-6.5599,N
8,N,0,-11.56,N
8,Y,3+,7.44,N
8,N,1,0.44,N
8,Y,3+,1.44,N
8,Y,1,-7.5599,N
8,Y,3+,5.44,N
8,N,2,2.44,N
8,Y,1,-7.5599,N
8,N,3+,-1.5599,N
8,N,0,-9.5599,N
8,Y,1,-6.5599,N
8,N,0,-7.5599,N
8,Y,3+,19.44,N
8,N,2,-8.5599,N
8,N,2,-6.5599,N
8,Y,3+,19.44,N
8,Y,3+,13.44,N
8,N,1,-9.5599,N
8,N,0,-6.5599,N
8,N,3+,12.44,N
8,Y,2,0.44,N
8,N,3+,16.44,N
8,N,1,7.44,N
8,N,0,-13.56,N
8,N,1,-3.5599,N
8,N,0,-6.5599,N
8,N,0,-9.5599,N
8,N,3+,-2.5599,N
9,Y,3+,7.44,Y
9,Y,2,-3.5599,Y
9,N,3+,16.44,Y
9,N,2,1.44,N
9,Y,3+,-4.5599,N
9,N,3+,-3.5599,N
9,Y,1,-9.5599,N
9,N,3+,-0.5599,N
9,Y,2,2.44,N
9,N,0,-11.559,N
9,N,3+,10.44,N
9,N,2,-5.5599,N
9,N,1,-6.56,N
9,Y,3+,10.44,N
9,N,2,-10.559,N
9,N,3+,15.44,N
9,N,3+,-5.5599,N
9,N,0,-12.56,N
9,N,0,-12.56,N
9,N,1,-8.5599,N
9,Y,2,-4.5599,N
9,N,3+,10.44,N
9,N,3+,11.44,N
10,N,2,18.44,N
10,N,0,-11.559,N
10,N,1,-6.5599,N
10,N,3+,3.44,N
10,N,3+,6.44,N
10,N,0,13.44,N
10,N,3+,15.44,N
10,Y,1,3.44,N
10,N,3+,15.44,N
10,N,2,19.44,N
10,N,0,12.44,N
10,N,0,-12.559,N
10,N,0,-9.5599,N
11,N,0,-9.5599,N
11,N,0,-8.5599,N
11,N,1,-5.5599,N
11,N,1,18.44,N
11,N,0,-8.5599,N
11,N,0,-9.5599,N
11,N,0,-12.559,N
11,N,0,3.44,N
11,N,0,-8.5599,N
11,N,3+,19.44,N
11,N,0,-3.5599,N
11,N,1,-5.5599,N
11,N,1,2.44,N
11,N,1,0.44,N
11,N,0,-11.559,N
11,N,2,-2.5599,N
11,N,3+,2.44,N
11,N,1,-8.5599,N
11,N,0,-8.5599,N
11,N,0,-6.56,N
11,N,3+,18.44,N
12,Y,3+,9.44,Y
12,N,3+,18.44,Y
12,N,2,-5.5599,Y
12,Y,0,4.44,Y
12,N,3+,-3.5599,Y
12,N,3+,17.44,Y
12,Y,3+,9.44,N
12,N,1,-7.5599,N
12,N,3+,19.44,N
12,N,3+,6.44,N
12,N,0,-1.5599,N
12,N,3+,3.44,N
12,Y,0,-5.5599,N
12,N,3+,5.44,N
12,Y,0,-11.559,N
12,N,3+,-1.5599,N
12,N,3+,2.44,N
12,N,2,-5.5599,N
12,Y,1,-1.5599,N
12,N,3+,5.44,N
12,Y,3+,18.44,N
12,N,3+,10.44,N
12,Y,3+,4.44,N
12,N,3+,3.44,N
12,Y,3+,11.44,N
12,N,2,-2.5599,N
12,N,2,-1.5599,N
12,Y,3+,8.44,N
12,N,0,-4.5599,N
13,N,3+,10.44,Y
13,N,0,-11.559,Y
13,Y,3+,6.44,Y
13,Y,0,-7.5599,Y
13,N,1,-12.559,Y
13,Y,1,-3.5599,Y
13,N,0,-8.5599,Y
13,N,0,-5.5599,Y
13,N,3+,-2.5599,N
13,N,3+,16.44,N
13,Y,3+,0.44,N
13,Y,3+,-1.5599,N
13,N,0,-2.5599,N
13,N,3+,15.44,N
13,N,1,0.44,N
13,Y,2,-7.5599,N
13,N,0,10.44,N
13,N,0,-7.5599,N
13,N,3+,3.44,N
13,Y,3+,0.44,N
13,N,0,13.44,N
13,Y,3+,4.44,N
13,Y,3+,12.44,N
13,Y,1,-3.5599,N
14,N,0,-9.5599,Y
14,Y,0,-10.559,Y
14,N,1,-10.559,Y
14,N,1,-11.559,Y
14,Y,0,-11.559,Y
14,N,1,2.44,Y
14,N,0,7.44,Y
14,N,0,0.44,Y
14,N,1,-3.5599,Y
14,Y,0,-7.5599,Y
14,Y,2,-2.5599,Y
14,N,3+,3.44,Y
14,Y,1,3.44,Y
14,Y,0,-11.559,Y
14,Y,1,-4.5599,Y
14,N,0,-10.559,Y
14,Y,3+,12.44,Y
14,N,1,-7.5599,Y
14,Y,3+,2.44,Y
14,N,0,-10.559,Y
14,N,0,-10.559,Y
14,Y,0,-8.5599,Y
14,N,3+,8.44,Y
14,N,0,-12.559,Y
14,N,2,-6.56,Y
14,Y,0,-8.5599,Y
14,Y,3+,14.44,Y
14,Y,3+,16.44,Y
14,Y,3+,6.44,Y
14,Y,3+,16.44,Y
14,Y,0,-11.559,Y
14,Y,3+,3.44,Y
14,Y,1,-5.5599,Y
14,Y,0,-6.5599,Y
14,Y,2,-2.5599,Y
14,Y,2,-7.5599,Y
14,Y,3+,-1.56,Y
14,Y,2,2.44,Y
14,Y,3+,5.44,Y
14,N,3+,0.44,Y
14,Y,3+,9.44,Y
14,Y,3+,4.44,Y
14,Y,0,-13.559,Y
14,Y,0,-13.559,Y
14,Y,3+,6.44,Y
14,N,0,2.44,Y
14,N,0,-8.5599,Y
14,N,3+,12.44,Y
14,Y,0,-9.5599,Y
14,Y,3+,10.44,Y
14,Y,0,-11.559,Y
14,N,3+,2.44,Y
14,N,0,-10.559,Y
14,Y,0,-8.5599,Y
14,Y,3+,2.44,Y
14,Y,3+,4.44,Y
14,Y,3+,7.44,Y
14,N,1,-10.559,Y
14,N,0,-6.5599,Y
14,Y,2,3.44,Y
14,Y,0,-9.5599,Y
14,N,1,6.44,Y
14,Y,2,-4.5599,Y
14,Y,1,-5.5599,Y
14,N,1,-8.5599,Y
14,Y,2,0.44,Y
14,Y,3+,17.44,Y
14,Y,2,-7.5599,Y
14,N,3+,14.44,Y
14,N,1,-4.5599,Y
14,Y,2,3.44,Y
14,Y,1,-1.5599,Y
14,Y,1,-8.5599,Y
14,Y,3+,0.44,Y
14,Y,1,-6.5599,Y
14,Y,3+,13.44,Y
14,Y,0,0.44,Y
14,Y,3+,7.44,Y
14,Y,2,0.44,Y
14,N,0,-1.5599,Y
14,Y,0,-12.559,Y
14,N,2,18.44,Y
14,Y,3+,7.44,Y
14,Y,0,-8.5599,Y
14,Y,3+,11.44,Y
14,Y,3+,13.44,Y
14,Y,1,-7.5599,Y
14,N,0,-10.559,Y
14,Y,1,-3.5599,Y
14,Y,1,-7.5599,Y
14,Y,2,-4.5599,Y
14,Y,0,-8.5599,Y
14,N,2,-2.5599,Y
14,Y,0,-9.5599,Y
14,Y,0,0.44,Y
14,N,0,-5.5599,Y
14,Y,0,-3.5599,Y
14,Y,1,-10.559,Y
14,N,2,0.44,Y
14,Y,3+,8.44,Y
14,Y,2,4.44,Y
14,Y,1,2.44,N
14,Y,1,-5.5599,N
14,N,2,-6.5599,N
14,N,2,6.44,N
14,N,1,-7.5599,N
14,N,1,-1.5599,N
14,N,3+,-3.5599,N
14,Y,3+,10.44,N
14,N,3+,18.44,N
14,Y,0,-12.559,N
14,N,3+,17.44,N
14,Y,3+,-5.5599,N
14,N,0,-12.559,N
14,N,0,-10.56,N
14,N,3+,0.44,N
14,N,1,-8.5599,N
14,Y,3+,17.44,N
15,Y,3+,14.44,Y
15,N,0,-13.559,Y
15,N,3+,1.44,Y
15,N,3+,2.44,Y
15,Y,3+,-0.5599,Y
15,N,3+,19.44,Y
15,N,1,0.44,Y
15,Y,0,-4.5599,Y
15,Y,2,-3.5599,N
15,N,0,-9.5599,N
15,N,2,10.44,N
15,N,1,4.44,N
15,Y,3+,8.44,N
15,N,1,-5.5599,N
15,N,0,-2.5599,N
15,N,0,-7.56,N
15,N,0,-12.559,N
15,Y,1,-4.5599,N
15,N,1,-8.5599,N
15,N,0,-10.559,N
15,Y,2,-2.5599,N
15,Y,1,-5.5599,N
16,Y,2,-0.5599,Y
16,Y,0,-9.5599,Y
16,N,0,-12.56,N
16,N,0,-12.56,N
16,Y,0,-10.559,N
16,N,0,-12.56,N
16,Y,0,-8.5599,N
16,Y,2,4.44,N
16,Y,2,17.44,N
16,Y,2,8.44,N
16,N,3+,4.44,N
16,Y,1,-10.559,N
16,N,0,-10.559,N
16,N,0,-13.559,N
16,N,1,0.44,N
16,Y,3+,10.44,N
16,N,0,-12.56,N
16,N,2,18.44,N
16,Y,0,-10.559,N
16,Y,1,-6.5599,N
17,N,0,-11.559,N
17,N,0,-12.559,N
17,Y,3+,-0.5599,N
17,Y,3+,4.44,N
17,Y,3+,5.44,N
17,N,1,-7.5599,N
17,N,1,-5.5599,N
17,N,3+,15.44,N
17,N,0,-4.5599,N
17,N,0,-12.559,N
17,N,3+,-5.5599,N
17,N,2,-2.5599,N
17,N,0,-12.559,N
17,N,0,1.44,N
17,Y,3+,7.44,N
17,N,3+,9.44,N
17,Y,3+,-2.5599,N
17,N,3+,-2.5599,N
17,N,3+,0.44,N
17,Y,2,-0.5599,N
17,N,3+,-5.5599,N
17,Y,3+,0.44,N
17,N,3+,11.44,N
17,N,3+,9.44,N
18,N,0,-1.56,Y
18,Y,1,-5.5599,Y
18,N,2,1.44,Y
18,N,2,-1.5599,Y
18,N,0,-9.5599,Y
18,Y,3+,2.44,Y
18,N,0,-7.5599,Y
18,N,0,-11.559,Y
18,Y,2,0.44,Y
18,Y,3+,15.44,Y
18,N,0,-7.5599,Y
18,Y,0,-8.5599,Y
18,Y,0,-9.5599,Y
18,Y,3+,8.44,Y
18,N,0,-12.559,N
18,Y,1,-6.5599,N
18,N,0,-10.559,N
18,N,1,-8.5599,N
18,N,0,-8.5599,N
18,Y,0,-13.56,N
18,Y,3+,-0.5599,N
18,N,2,1.44,N
18,N,0,-13.56,N
18,N,0,-11.559,N
18,N,3+,15.44,N
18,Y,3+,-5.5599,N
18,N,3+,12.44,N
18,N,3+,17.44,N
18,Y,2,-5.5599,N
18,Y,3+,6.44,N
18,N,3+,8.44,N
18,N,2,17.44,N
18,N,2,-2.5599,N
18,N,3+,4.44,N
18,N,0,0.44,N
18,Y,1,-13.559,N
18,N,3+,-2.5599,N
18,N,3+,1.44,N
18,N,0,17.44,N
18,N,2,-6.5599,N
18,N,2,-6.5599,N
18,N,3+,5.44,N
18,Y,1,-6.5599,N
18,N,0,-4.5599,N
18,N,3+,7.44,N
18,N,3+,16.44,N
18,Y,0,-10.559,N
19,N,0,-2.5599,Y
19,Y,1,-11.559,Y
19,Y,3+,-1.5599,Y
19,Y,0,-12.559,Y
19,N,1,18.44,N
19,Y,3+,2.44,N
19,Y,3+,-0.5599,N
19,N,0,-6.5599,N
19,N,3+,3.44,N
19,N,3+,11.44,N
19,N,1,14.44,N
19,N,1,5.44,N
19,N,0,-9.5599,N
19,N,0,-2.5599,N
19,N,1,-6.5599,N
19,Y,0,0.44,N
19,N,0,-1.5599,N
19,N,0,-10.56,N
19,Y,3+,3.44,N
19,Y,1,3.44,N
19,Y,3+,2.44,N
19,N,1,-5.5599,N
19,N,3+,-5.5599,N
19,N,3+,0.44,N
19,Y,3+,12.44,N
19,N,3+,5.44,N
20,N,2,-1.5599,N
20,N,2,3.44,N
20,Y,0,-12.56,N
20,Y,2,-0.5599,N
20,N,3+,17.44,N
20,Y,0,-12.56,N
20,Y,0,-10.559,N
20,N,2,-5.5599,N
20,N,3+,11.44,N
20,N,0,-12.56,N
20,N,0,-13.559,N
20,N,0,8.44,N
20,N,0,-13.559,N
20,Y,3+,12.44,N
20,Y,3+,-1.5599,N
21,N,3+,18.44,Y
21,N,3+,19.44,Y
21,Y,0,-12.559,Y
21,N,0,-13.56,Y
21,N,3+,-3.5599,Y
21,N,3+,14.44,Y
21,N,3+,12.44,Y
21,N,1,-6.5599,Y
21,N,2,7.44,N
21,Y,0,1.44,N
21,N,1,-7.5599,N
21,Y,2,-1.5599,N
21,N,2,-2.5599,N
21,Y,1,-4.5599,N
21,Y,0,2.44,N
21,Y,1,-0.5599,N
21,Y,0,-7.5599,N
21,N,0,-10.559,N
22,N,1,4.44,N
22,Y,2,-5.5599,N
22,N,0,19.44,N
22,N,3+,-1.5599,N
22,N,0,-10.559,N
22,N,3+,-4.5599,N
22,N,3+,17.44,N
22,Y,1,-3.5599,N
22,N,2,-3.56,N
22,N,2,3.44,N
22,N,1,-8.5599,N
22,N,2,-1.56,N
22,N,3+,5.44,N
22,N,0,-11.559,N
22,N,3+,17.44,N
22,N,3+,6.44,N
22,N,3+,0.44,N
22,N,3+,0.44,N
22,Y,2,-4.5599,N
22,Y,1,-1.5599,N
23,N,2,-4.5599,N
23,N,0,-8.5599,N
23,Y,2,-1.5599,N
23,N,2,-2.5599,N
23,N,3+,16.44,N
23,N,3+,-1.5599,N
23,N,2,-5.56,N
23,N,1,10.44,N
23,Y,3+,10.44,N
23,N,0,-11.559,N
23,N,3+,8.44,N
23,Y,3+,7.44,N
23,N,0,-11.559,N
23,Y,2,5.44,N
23,N,3+,8.44,N
24,N,0,-8.5599,N
24,N,3+,-3.5599,N
24,N,1,-6.5599,N
24,N,3+,17.44,N
24,N,0,-11.559,N
24,N,0,-10.559,N
24,N,3+,5.44,N
24,N,3+,9.44,N
24,N,3+,4.44,N
24,N,0,6.44,N
24,Y,3+,6.44,N
24,N,0,-13.56,N
24,N,1,-4.5599,N
24,N,3+,15.44,N
25,N,0,-8.5599,Y
25,Y,2,-5.5599,Y
25,N,0,-3.5599,Y
25,Y,3+,1.44,Y
25,N,0,-1.5599,Y
25,Y,1,9.44,Y
25,Y,3+,8.44,Y
25,Y,1,-0.5599,Y
25,N,3+,-5.56,Y
25,N,0,0.44,Y
25,Y,3+,-1.5599,Y
25,N,0,-11.559,Y
25,N,0,-11.559,Y
25,Y,3+,4.44,Y
25,N,0,-9.5599,Y
25,N,0,-10.559,Y
25,N,1,2.44,Y
25,Y,1,-7.5599,Y
25,Y,3+,18.44,N
25,N,1,-6.5599,N
25,N,3+,-2.5599,N
25,Y,1,-3.5599,N
25,Y,1,-8.5599,N
25,Y,2,6.44,N
25,N,0,-13.56,N
25,N,3+,3.44,N
25,N,3+,3.44,N
25,N,3+,1.44,N
25,N,0,-8.5599,N
25,Y,3+,0.44,N
25,Y,3+,4.44,N
25,N,2,-5.5599,N
25,Y,3+,5.44,N
25,Y,1,-10.559,N
25,Y,3+,-9.5599,N
25,N,3+,4.44,N
25,Y,2,1.44,N
25,N,0,-12.56,N
25,N,2,-6.5599,N
25,N,1,-4.5599,N
25,N,0,-1.5599,N
25,Y,2,5.44,N
25,Y,3+,5.44,N
25,N,2,2.44,N
25,Y,3+,10.44,N
25,N,0,-11.56,N
25,Y,3+,4.44,N
25,N,3+,7.44,N
25,Y,1,-6.5599,N
25,Y,3+,0.44,N
25,Y,3+,-1.5599,N
25,N,1,-5.5599,N
25,N,1,-2.5599,N
25,Y,3+,14.44,N
25,N,0,-5.5599,N
25,Y,1,-11.559,N
25,Y,3+,1.44,N
25,N,2,-0.56,N
25,N,3+,18.44,N
25,N,1,-1.5599,N
25,N,0,-11.56,N
25,N,1,-5.5599,N
25,N,2,-1.5599,N
25,Y,3+,-2.5599,N
25,Y,3+,4.44,N
25,N,0,-12.56,N
25,N,3+,5.44,N
26,Y,3+,5.44,N
26,N,3+,5.44,N
26,N,3+,3.44,N
26,N,3+,7.44,N
26,N,1,-8.5599,N
26,N,1,-9.5599,N
26,N,0,-9.5599,N
26,Y,2,7.44,N
26,N,1,-5.5599,N
26,Y,1,-2.5599,N
26,N,2,15.44,N
26,Y,2,7.44,N
26,Y,2,-2.5599,N
27,N,3+,1.44,Y
27,N,0,-2.5599,Y
27,N,3+,4.44,Y
27,Y,0,-9.5599,Y
27,Y,3+,14.44,Y
27,N,1,-6.56,N
27,N,0,-12.559,N
27,N,3+,15.44,N
27,N,3+,10.44,N
27,N,1,2.44,N
27,N,3+,14.44,N
27,N,3+,19.44,N
27,N,2,6.44,N
27,N,3+,10.44,N
27,Y,0,-5.5599,N
27,N,3+,19.44,N
27,N,0,0.44,N
27,N,0,-12.559,N
27,N,0,-12.559,N
27,N,0,-7.56,N
27,N,0,-1.5599,N
27,Y,2,9.44,N
27,Y,3+,14.44,N
27,N,1,-4.5599,N
27,N,0,-10.559,N
27,N,2,-5.56,N
27,N,3+,17.44,N
27,Y,0,-5.5599,N
27,Y,3+,2.44,N
27,N,0,-13.559,N
27,N,0,-12.559,N
27,Y,2,-0.5599,N
27,N,3+,8.44,N
27,N,1,-2.5599,N
27,N,0,-11.559,N
27,N,1,-5.5599,N
27,N,1,4.44,N
27,N,0,-9.5599,N
27,N,3+,14.44,N
27,N,3+,9.44,N
27,N,3+,11.44,N
27,N,3+,18.44,N
27,N,3+,11.44,N
27,N,3+,6.44,N
28,N,3+,10.44,Y
28,N,3+,-1.5599,Y
28,N,3+,9.44,Y
28,Y,3+,4.44,Y
28,Y,1,-9.5599,N
28,Y,2,-2.5599,N
28,N,1,-1.56,N
28,N,3+,18.44,N
28,Y,3+,9.44,N
28,N,3+,18.44,N
28,Y,3+,10.44,N
28,Y,3+,-1.5599,N
28,N,3+,9.44,N
28,Y,3+,9.44,N
28,N,3+,19.44,N
28,N,0,-7.56,N
28,Y,0,-13.56,N
28,N,3+,18.44,N
28,N,0,-12.559,N
28,N,2,-0.5599,N
28,Y,3+,11.44,N
28,N,0,-12.559,N
28,N,0,-13.56,N
28,N,0,-9.5599,N
28,N,0,-11.559,N
28,Y,3+,5.44,N
28,N,1,-7.56,N
28,N,0,-7.56,N
28,N,3+,16.44,N
28,Y,3+,1.44,N
28,Y,2,-2.5599,N
28,N,3+,1.44,N
28,N,3+,18.44,N
28,N,1,-2.5599,N
28,N,3+,3.44,N
28,N,3+,19.44,N
28,N,1,-9.5599,N
28,N,1,-6.56,N
28,N,2,-2.5599,N
28,N,0,-7.56,N
28,N,0,-10.559,N
28,N,2,8.44,N
28,N,3+,6.44,N
28,N,3+,10.44,N
28,N,2,-9.5599,N
28,N,0,-12.559,N
28,N,3+,8.44,N
28,N,1,0.44,N
28,N,1,-0.5599,N
29,N,3+,9.44,Y
29,N,0,-5.5599,Y
29,Y,3+,12.44,Y
29,Y,3+,7.44,Y
29,N,0,-0.5599,Y
29,Y,2,0.44,Y
29,Y,0,10.44,Y
29,N,0,-8.5599,N
29,N,0,-13.559,N
29,N,0,-10.559,N
29,N,0,-7.56,N
29,N,3+,-1.5599,N
29,N,2,-0.5599,N
29,N,3+,11.44,N
29,N,0,4.44,N
29,N,3+,10.44,N
29,N,0,-4.5599,N
29,N,0,-9.5599,N
29,Y,0,-12.559,N
29,N,0,-9.5599,N
29,Y,3+,8.44,N
29,N,3+,19.44,N
29,N,2,18.44,N
29,N,0,-9.5599,N
29,N,0,-7.56,N
29,Y,3+,2.44,N
29,N,0,-11.559,N
29,Y,1,-8.5599,N
29,N,1,-5.5599,N
29,N,1,-9.5599,N
29,N,2,-5.5599,N
29,Y,3+,0.44,N
30,Y,1,-0.5599,Y
30,Y,2,5.44,Y
30,Y,1,-0.5599,Y
30,Y,3+,5.44,Y
30,Y,3+,8.44,Y
30,N,1,-6.5599,Y
30,N,2,-3.56,Y
30,Y,3+,19.4399,Y
30,Y,2,0.44,Y
30,Y,3+,19.4399,Y
30,N,0,-8.5599,Y
30,Y,1,-2.5599,Y
30,Y,1,-8.5599,Y
30,Y,1,-2.5599,Y
30,N,0,-10.559,Y
30,Y,1,5.44,Y
30,Y,3+,11.44,N
30,N,0,4.44,N
